TOTAL_NUMBER,TOTAL_VALUE,OFFENCE_FINYEAR,OFFENCE_MONTH,ISSUING_AGENCY,OFFENCE_DESC
1,1320,2014-2015,Mar,Department of Primary Industries,Carry on food business/activity without a licence - Corporation
4,3520,2015-2016,Sep,Georges River Council,Fail to comply with Food Standards Code - Corporation
3,2640,2012-2013,Jun,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,660,2016-2017,May,Department of Primary Industries,Carry on food business/activity without a licence - Individual
4,3520,2017-2018,Oct,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Sep,Cessnock City Council,Fail to comply with Food Standards Code - Corporation
12,5280,2017-2018,Mar,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Feb,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Feb,City of Parramatta,Fail to comply with Food Standards Code - Corporation
5,4400,2017-2018,May,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
4,3520,2012-2013,Apr,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Mar,Ballina Shire Council,Fail to comply with Food Standards Code - Individual
1,1320,2018-2019,Nov,City of Parramatta,Fail to pay fee required by improvement notice - Corporation
13,5720,2014-2015,Feb,Fairfield City Council,Fail to comply with Food Standards Code - Individual
3,1320,2016-2017,Mar,Liverpool City Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Apr,Moree Plains Shire Council,Fail to comply with Food Standards Code - Corporation
2,2640,2018-2019,Dec,Department of Primary Industries,Handle sell food so as to contravene the food safety scheme - Corporation
2,1760,2017-2018,Dec,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
34,29920,2017-2018,Feb,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
2,1760,2015-2016,Jul,Camden Council,Fail to comply with Food Standards Code - Corporation
13,11440,2015-2016,Nov,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Nov,Sutherland Shire Council,Fail to comply with Food Standards Code - Corporation
1,440,2012-2013,Feb,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Individual
7,6160,2015-2016,Oct,Burwood Council,Fail to comply with Food Standards Code - Corporation
3,2640,2017-2018,Apr,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Apr,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Jul,Shoalhaven City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2016-2017,May,Burwood Council,Fail to comply with Food Standards Code - Corporation
3,1320,2012-2013,May,Blacktown City Council,Fail to comply with Food Standards Code - Individual
2,1760,2013-2014,Apr,City of Ryde,Fail to comply with Food Standards Code - Corporation
2,880,2015-2016,Oct,Penrith City Council,Fail to comply with Food Standards Code - Individual
4,1760,2014-2015,Feb,City of Sydney Council,Fail to comply with Food Standards Code - Individual
2,880,2017-2018,Jan,City of Sydney Council,Fail to comply with Food Standards Code - Individual
3,1320,2012-2013,Mar,Shoalhaven City Council,Fail to comply with Food Standards Code - Individual
2,1760,2013-2014,Jun,Bayside Council,Fail to comply with Food Standards Code - Corporation
2,880,2015-2016,Jan,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
1,660,2014-2015,Aug,City of Sydney Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
3,2640,2016-2017,Sep,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
3,2640,2015-2016,May,Central Coast Council,Fail to comply with Food Standards Code - Corporation
1,440,2014-2015,Dec,Cumberland Council,Fail to comply with Food Standards Code - Individual
7,6160,2017-2018,Jun,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
1,440,2015-2016,May,Inner West Council,Fail to comply with Food Standards Code - Individual
1,880,2017-2018,Sep,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Feb,City of Parramatta,Fail to comply with Food Standards Code - Individual
1,440,2018-2019,Aug,Liverpool City Council,Fail to comply with Food Standards Code - Individual
3,1320,2016-2017,May,Byron Shire Council,Fail to comply with Food Standards Code - Individual
1,880,2012-2013,Feb,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
4,3520,2015-2016,Oct,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
7,6160,2015-2016,Oct,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
1,1320,2015-2016,May,City of Parramatta,Fail to pay fee required by improvement notice - Corporation
6,7920,2015-2016,Mar,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
3,1320,2015-2016,Dec,The Hills Shire Council,Fail to comply with Food Standards Code - Individual
1,770,2013-2014,Sep,Cobar Shire Council,Sell unsafe food - Individual
1,1320,2014-2015,Aug,Office of Environment and Heritage (NPWS),Handle food in manner likely to render it unsuitable - Corporation
5,4400,2016-2017,Dec,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
3,2640,2015-2016,Feb,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
2,2640,2016-2017,Dec,City of Parramatta,Fail to pay fee required by improvement notice - Corporation
2,1760,2017-2018,Sep,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
3,1320,2013-2014,May,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
6,5280,2017-2018,Oct,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
2,880,2018-2019,Nov,Armidale Regional Council,Fail to comply with Food Standards Code - Individual
4,3520,2015-2016,Apr,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
1,660,2015-2016,May,Willoughby City Council,Not comply with requirements of food safety scheme - Individual
1,660,2015-2016,Aug,Central Coast Council,Not appoint food safety supervisor for premises - Corporation
8,3520,2015-2016,Sep,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
5,2200,2014-2015,Feb,Burwood Council,Fail to comply with Food Standards Code - Individual
3,1320,2017-2018,Apr,Liverpool City Council,Fail to comply with Food Standards Code - Individual
11,9680,2017-2018,Jan,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Sep,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
2,880,2016-2017,Apr,Cumberland Council,Fail to comply with Food Standards Code - Individual
3,2640,2014-2015,Jul,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Feb,Willoughby City Council,Sell food packaged/labelled contravening Food Standards Code - Corporation
1,1320,2014-2015,Jul,North Sydney City Council,Fail to pay fee required by improvement notice - Corporation
3,2640,2013-2014,Jan,Inner West Council,Fail to comply with Food Standards Code - Corporation
5,4400,2017-2018,May,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,May,Ballina Shire Council,Fail to comply with Food Standards Code - Corporation
1,660,2016-2017,Aug,Burwood Council,Not appoint food safety supervisor for premises - Corporation
1,440,2014-2015,Oct,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
2,1760,2017-2018,Jun,Port Stephens Council,Fail to comply with Food Standards Code - Corporation
3,2640,2014-2015,Apr,Georges River Council,Fail to comply with Food Standards Code - Corporation
6,5280,2018-2019,Dec,Burwood Council,Fail to comply with Food Standards Code - Corporation
2,880,2014-2015,Aug,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
3,2640,2014-2015,Feb,Cessnock City Council,Fail to comply with Food Standards Code - Corporation
6,5280,2014-2015,Aug,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
1,660,2012-2013,Jun,Fairfield City Council,Not appoint food safety supervisor for premises - Corporation
1,880,2017-2018,Jul,Bayside Council,Fail to comply with Food Standards Code - Corporation
14,12320,2017-2018,Feb,Cumberland Council,Fail to comply with Food Standards Code - Corporation
6,2640,2017-2018,Sep,Coffs Harbour City Council,Fail to comply with Food Standards Code - Individual
1,1320,2017-2018,Sep,City of Parramatta,Sell food that is unsuitable - Corporation
1,440,2013-2014,Aug,City of Sydney Council,Fail to comply with Food Standards Code - Individual
5,4400,2014-2015,Oct,Penrith City Council,Fail to comply with Food Standards Code - Corporation
3,2640,2016-2017,Dec,Randwick City Council,Fail to comply with Food Standards Code - Corporation
13,5720,2014-2015,Jun,Ku-ring-gai Council,Fail to comply with Food Standards Code - Individual
2,1760,2014-2015,Jun,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Aug,Byron Shire Council,Fail to comply with Food Standards Code - Individual
2,660,2012-2013,Jun,Goulburn Mulwaree Council,Not appoint food safety supervisor for premises - Individual
1,1320,2015-2016,Jul,Northern Beaches Council,Fail to pay fee required by improvement notice - Corporation
10,4400,2013-2014,Sep,Waverley Council,Fail to notify appropriate enforcement agency - Individual
5,4400,2016-2017,Oct,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Corporation
4,3520,2018-2019,Oct,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2016-2017,Apr,Blacktown City Council,Sell food that is unsuitable - Corporation
1,880,2016-2017,Oct,Byron Shire Council,Fail to comply with Food Standards Code - Corporation
5,6600,2014-2015,Jul,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
1,440,2013-2014,Jan,Mosman Municipal Council,Fail to comply with Food Standards Code - Individual
4,3520,2013-2014,May,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
1,1540,2017-2018,Jun,Burwood Council,Fail to comply with a prohibition order - Corporation
3,2640,2016-2017,Mar,Mosman Municipal Council,Fail to comply with Food Standards Code - Corporation
1,440,2014-2015,May,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
1,660,2017-2018,Nov,North Sydney City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
1,770,2013-2014,Oct,Department of Primary Industries,Sell unsafe food - Individual
8,7040,2013-2014,Jul,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2013-2014,Aug,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
4,1760,2015-2016,Jul,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
2,1760,2017-2018,Jan,Wagga Wagga City Council,Fail to comply with Food Standards Code - Corporation
1,660,2013-2014,Oct,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
2,880,2017-2018,Jun,Blacktown City Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Dec,Queanbeyan City Council,Fail to comply with Food Standards Code - Corporation
6,2640,2017-2018,Sep,The Hills Shire Council,Fail to comply with Food Standards Code - Individual
1,880,2015-2016,Jan,Lismore City Council,Fail to comply with Food Standards Code - Corporation
5,4400,2015-2016,Jul,MidCoast Council,Fail to comply with Food Standards Code - Corporation
5,4400,2016-2017,Jul,Randwick City Council,Fail to comply with Food Standards Code - Corporation
5,4400,2017-2018,Jan,Penrith City Council,Fail to comply with Food Standards Code - Corporation
9,7920,2015-2016,Dec,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
3,1320,2016-2017,Aug,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
3,2640,2012-2013,Jan,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Dec,City of Parramatta,Fail to comply with Food Standards Code - Corporation
4,5280,2016-2017,Dec,Department of Primary Industries,Handle sell food so as to contravene the food safety scheme - Corporation
1,1320,2015-2016,Sep,Blacktown City Council,Sell food that is unsuitable - Corporation
2,1760,2012-2013,Apr,Hunters Hill Council,Fail to comply with Food Standards Code - Corporation
1,660,2017-2018,Dec,City of Parramatta,Not continue to have food safety supervisor for premises - Corporation
2,1760,2015-2016,Oct,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
6,5280,2017-2018,Oct,Cumberland Council,Fail to comply with Food Standards Code - Corporation
6,2640,2013-2014,Feb,Blacktown City Council,Fail to comply with Food Standards Code - Individual
